instance,objective,status,status_category,average_obj,total_instances,optimal_count,feasible_count,solution_not_found_count,infeasible_count,optimal_percentage,feasible_percentage,solution_not_found_percentage,infeasible_percentage,2_feasible_count,2_feasible_percentage
0,40.73195562,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
1,32.094913407164995,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
2,35.35064790105,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
3,27.601863269188,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
4,28.084217897530003,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
5,40.10616792,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
6,29.0781279879,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
7,27.667715096608,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
8,26.688095181319994,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
9,31.273345459999998,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
10,34.11812846418,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
11,44.61596566000001,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
12,32.186432271568,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
13,27.823884468594997,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
14,39.289808439999995,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
15,43.945809970000006,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
16,44.06920257,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
17,41.900903840000005,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
18,28.713883887574998,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
19,36.603714044639,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
20,26.801846663962,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
21,40.42881681,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
22,28.0426340544,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
23,44.683431049999996,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
24,25.952882463916,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
25,35.97368514,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
26,39.41998513,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
27,31.648491439959997,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
