seed=42, alpha=1.0, n_instances=50, size=5x5x5
Epoch  Objective  Destruction     RemVal       Cost
  100     0.0762       92.38%     0.0762     1.0000
  110     0.0742       92.58%     0.0742     0.9984
  120     0.0820       91.80%     0.0820     0.9400
  130     0.0735       92.65%     0.0735     1.0000
  140     0.0786       92.14%     0.0786     0.9497
  150     0.0775       92.25%     0.0775     0.9812
  151     0.0731       92.69%     0.0731     1.0000
  152     0.0721       92.79%     0.0721     1.0000
  153     0.0727       92.73%     0.0727     0.9984
  154     0.0732       92.68%     0.0732     0.9969
  155     0.0726       92.74%     0.0726     0.9984
  156     0.0733       92.67%     0.0733     1.0000
  157     0.0727       92.73%     0.0727     0.9922
  158     0.0720       92.80%     0.0720     1.0000
  159     0.0746       92.54%     0.0746     1.0000
  160     0.0806       91.94%     0.0806     1.0000
  161     0.0813       91.87%     0.0813     1.0000
  162     0.0775       92.25%     0.0775     0.9984
  163     0.0749       92.51%     0.0749     1.0000
  164     0.0750       92.50%     0.0750     1.0000
  165     0.0721       92.79%     0.0721     1.0000
  166     0.0751       92.49%     0.0751     1.0000
  167     0.0749       92.51%     0.0749     1.0000
  168     0.0730       92.70%     0.0730     0.9872
  169     0.0743       92.57%     0.0743     0.9900
  170     0.0726       92.74%     0.0726     0.9953
  171     0.0743       92.57%     0.0743     1.0000
  172     0.0788       92.12%     0.0788     1.0000
  173     0.0745       92.55%     0.0745     0.9941
  174     0.0737       92.63%     0.0737     0.9953
  175     0.0728       92.72%     0.0728     0.9984
  176     0.0729       92.71%     0.0729     0.9972
  177     0.0716       92.84%     0.0716     1.0000
  178     0.0728       92.72%     0.0728     1.0000
  179     0.0758       92.42%     0.0758     1.0000
  180     0.0731       92.69%     0.0731     1.0000
  181     0.0759       92.41%     0.0759     0.9859
  182     0.0732       92.68%     0.0732     1.0000
  183     0.0773       92.27%     0.0773     0.9550
  184     0.0736       92.64%     0.0736     0.9869
  185     0.0771       92.29%     0.0771     0.9728
  186     0.0886       91.14%     0.0886     0.9491
  187     0.0760       92.40%     0.0760     0.9922
  188     0.0724       92.76%     0.0724     1.0000
  189     0.0746       92.54%     0.0746     0.9984
  190     0.0732       92.68%     0.0732     1.0000
  191     0.0751       92.49%     0.0751     0.9728
  192     0.0720       92.80%     0.0720     0.9969
  193     0.0737       92.63%     0.0737     0.9984
  194     0.0725       92.75%     0.0725     1.0000
  195     0.0763       92.37%     0.0763     0.9931
  196     0.0923       90.77%     0.0923     0.9847
  197     0.0725       92.75%     0.0725     0.9819
  198     0.0872       91.28%     0.0872     0.8831
  199     0.0715       92.85%     0.0715     1.0000
  200     0.0766       92.34%     0.0766     1.0000

BEST: Epoch 199, Objective = 0.0715
