init_value,remaining_value,remaining_norm,total_cost,cost_norm,objective,destruction,fires,time_s,size,scale,instance
16.0,2.28,0.1425,440.0,1.0,0.1425,0.8575,9,0.2033,5M_5N_5T,Small,0
29.0,1.8995,0.0655,440.0,0.7857,0.0655,0.9345,9,0.054,5M_5N_5T,Small,1
25.0,3.1473,0.1259,380.0,0.9268,0.1259,0.8741,8,0.053,5M_5N_5T,Small,2
32.0,2.8977,0.0906,730.0,0.8295,0.0906,0.9094,10,0.055,5M_5N_5T,Small,3
19.0,0.9098,0.0479,600.0,0.8696,0.0479,0.9521,13,0.057,5M_5N_5T,Small,4
37.0,2.6045,0.0704,730.0,1.0,0.0704,0.9296,10,0.058,5M_5N_5T,Small,5
20.0,1.4609,0.073,520.0,0.9123,0.073,0.927,9,0.054,5M_5N_5T,Small,6
27.0,1.4139,0.0524,690.0,0.8961,0.0524,0.9476,9,0.055,5M_5N_5T,Small,7
28.0,2.2651,0.0809,660.0,1.0,0.0809,0.9191,10,0.055,5M_5N_5T,Small,8
31.0,1.575,0.0508,840.0,0.9438,0.0508,0.9492,12,0.057,5M_5N_5T,Small,9
24.0,3.8844,0.1618,500.0,1.0,0.1618,0.8382,8,0.053,5M_5N_5T,Small,10
30.0,1.2857,0.0429,640.0,1.0,0.0429,0.9571,10,0.056,5M_5N_5T,Small,11
23.0,2.2748,0.0989,510.0,1.0,0.0989,0.9011,8,0.054,5M_5N_5T,Small,12
35.0,3.4997,0.1,530.0,1.0,0.1,0.9,9,0.054,5M_5N_5T,Small,13
19.0,1.0579,0.0557,570.0,1.0,0.0557,0.9443,11,0.057,5M_5N_5T,Small,14
21.0,1.5408,0.0734,350.0,1.0,0.0734,0.9266,11,0.057,5M_5N_5T,Small,15
33.0,5.5246,0.1674,440.0,0.9565,0.1674,0.8326,8,0.053,5M_5N_5T,Small,16
23.0,1.1926,0.0519,510.0,0.9107,0.0519,0.9481,9,0.054,5M_5N_5T,Small,17
31.0,2.9574,0.0954,440.0,0.7719,0.0954,0.9046,10,0.055,5M_5N_5T,Small,18
25.0,2.4824,0.0993,460.0,0.7667,0.0993,0.9007,9,0.053,5M_5N_5T,Small,19
34.0,6.0189,0.177,580.0,0.8657,0.177,0.823,8,0.053,5M_5N_5T,Small,20
30.0,2.1349,0.0712,550.0,1.0,0.0712,0.9288,10,0.056,5M_5N_5T,Small,21
26.0,3.1389,0.1207,590.0,0.8551,0.1207,0.8793,7,0.052,5M_5N_5T,Small,22
29.0,1.8014,0.0621,520.0,1.0,0.0621,0.9379,10,0.059,5M_5N_5T,Small,23
19.0,1.1881,0.0625,450.0,0.8491,0.0625,0.9375,10,0.064,5M_5N_5T,Small,24
17.0,2.1606,0.1271,500.0,1.0,0.1271,0.8729,8,0.065,5M_5N_5T,Small,25
33.0,1.6578,0.0502,450.0,1.0,0.0502,0.9498,11,0.057,5M_5N_5T,Small,26
44.0,5.4405,0.1236,450.0,0.8333,0.1236,0.8764,9,0.054,5M_5N_5T,Small,27
44.0,4.4569,0.1013,630.0,0.7778,0.1013,0.8987,10,0.055,5M_5N_5T,Small,28
16.0,1.2555,0.0785,620.0,0.9538,0.0785,0.9215,10,0.056,5M_5N_5T,Small,29
21.0,1.2916,0.0615,550.0,0.8594,0.0615,0.9385,9,0.054,5M_5N_5T,Small,30
31.0,2.1382,0.069,440.0,1.0,0.069,0.931,9,0.054,5M_5N_5T,Small,31
