tier,config,M,N,T,scip_bestfound,scip_n_optimal,parallel_postfix,greedy
Small,5M_5N_5T,5,5,5,0.09259487165448445,10,0.138924,0.1591184913767322
Small,5M_7N_5T,5,7,5,0.17121612180367335,10,0.211073,0.309966218494326
Small,10M_15N_5T,10,15,5,0.17310901353948496,2,0.260608,0.3624357586675069
Medium,15M_15N_5T,15,15,5,0.04796238878123425,0,0.063449,0.0859576926062176
Medium,15M_20N_5T,15,20,5,0.09726931972088967,0,0.123258,0.1513852876894031
Medium,20M_30N_5T,20,30,5,0.1629024781981966,0,0.27839,0.3216249245028127
Large,30M_30N_10T,30,30,10,0.04129748058133441,0,0.067287,0.1505625879448009
Large,30M_40N_10T,30,40,10,0.11152827464189397,0,0.163442,0.2287500416304367
Large,40M_50N_10T,40,50,10,0.10751276815076394,0,0.125476,0.170467471555487
Battlefield,50M_50N_15T,50,50,15,1.0,0,0.049817,0.0803195355386865
Battlefield,50M_70N_15T,50,70,15,1.0,0,0.116261,0.1658688371606715
Battlefield,70M_100N_15T,70,100,15,1.0,0,0.162004,0.1659420766259648
