init_value,remaining_value,remaining_norm,total_cost,cost_norm,objective,destruction,fires,time_s,size,scale,instance,method
16.0,3.5362,0.221,440.0,1.0,0.221,0.779,9,0.0,5M_5N_5T,Small,0,heuristic
29.0,2.8266,0.0975,560.0,1.0,0.0975,0.9025,11,0.0,5M_5N_5T,Small,1,heuristic
25.0,6.0434,0.2417,410.0,1.0,0.2417,0.7583,9,0.0,5M_5N_5T,Small,2,heuristic
32.0,4.4691,0.1397,880.0,1.0,0.1397,0.8603,12,0.0,5M_5N_5T,Small,3,heuristic
19.0,0.9405,0.0495,600.0,0.8696,0.0495,0.9505,13,0.0,5M_5N_5T,Small,4,heuristic
37.0,2.9757,0.0804,730.0,1.0,0.0804,0.9196,10,0.0,5M_5N_5T,Small,5,heuristic
20.0,2.1276,0.1064,570.0,1.0,0.1064,0.8936,10,0.0,5M_5N_5T,Small,6,heuristic
27.0,3.2694,0.1211,690.0,0.8961,0.1211,0.8789,9,0.0,5M_5N_5T,Small,7,heuristic
28.0,7.2791,0.26,660.0,1.0,0.26,0.74,10,0.0,5M_5N_5T,Small,8,heuristic
31.0,2.6987,0.0871,890.0,1.0,0.0871,0.9129,13,0.0,5M_5N_5T,Small,9,heuristic
24.0,5.1133,0.2131,500.0,1.0,0.2131,0.7869,8,0.0,5M_5N_5T,Small,10,heuristic
30.0,5.391,0.1797,640.0,1.0,0.1797,0.8203,10,0.0,5M_5N_5T,Small,11,heuristic
23.0,7.442,0.3236,510.0,1.0,0.3236,0.6764,8,0.0,5M_5N_5T,Small,12,heuristic
35.0,10.2025,0.2915,530.0,1.0,0.2915,0.7085,9,0.0,5M_5N_5T,Small,13,heuristic
19.0,2.8989,0.1526,570.0,1.0,0.1526,0.8474,11,0.001,5M_5N_5T,Small,14,heuristic
21.0,2.786,0.1327,350.0,1.0,0.1327,0.8673,11,0.0,5M_5N_5T,Small,15,heuristic
33.0,10.5488,0.3197,460.0,1.0,0.3197,0.6803,9,0.0,5M_5N_5T,Small,16,heuristic
23.0,3.6332,0.158,510.0,0.9107,0.158,0.842,9,0.0,5M_5N_5T,Small,17,heuristic
31.0,2.1073,0.068,570.0,1.0,0.068,0.932,12,0.0,5M_5N_5T,Small,18,heuristic
25.0,3.1787,0.1271,600.0,1.0,0.1271,0.8729,11,0.0,5M_5N_5T,Small,19,heuristic
34.0,9.5763,0.2817,670.0,1.0,0.2817,0.7183,9,0.0,5M_5N_5T,Small,20,heuristic
30.0,5.6534,0.1884,550.0,1.0,0.1884,0.8116,10,0.0,5M_5N_5T,Small,21,heuristic
26.0,7.5795,0.2915,690.0,1.0,0.2915,0.7085,8,0.0,5M_5N_5T,Small,22,heuristic
29.0,2.7365,0.0944,520.0,1.0,0.0944,0.9056,10,0.0,5M_5N_5T,Small,23,heuristic
19.0,1.5439,0.0813,450.0,0.8491,0.0813,0.9187,10,0.0,5M_5N_5T,Small,24,heuristic
17.0,3.5212,0.2071,500.0,1.0,0.2071,0.7929,8,0.0,5M_5N_5T,Small,25,heuristic
33.0,2.4617,0.0746,450.0,1.0,0.0746,0.9254,11,0.0,5M_5N_5T,Small,26,heuristic
44.0,8.959,0.2036,540.0,1.0,0.2036,0.7964,11,0.0,5M_5N_5T,Small,27,heuristic
44.0,6.3579,0.1445,630.0,0.7778,0.1445,0.8555,10,0.0,5M_5N_5T,Small,28,heuristic
16.0,3.4431,0.2152,650.0,1.0,0.2152,0.7848,11,0.0,5M_5N_5T,Small,29,heuristic
21.0,0.9795,0.0466,640.0,1.0,0.0466,0.9534,10,0.0,5M_5N_5T,Small,30,heuristic
31.0,10.6822,0.3446,440.0,1.0,0.3446,0.6554,9,0.0,5M_5N_5T,Small,31,heuristic
17.0,1.3865,0.0816,620.0,1.0,0.0816,0.9184,10,0.0,5M_5N_5T,Small,32,heuristic
25.0,3.5965,0.1439,670.0,1.0,0.1439,0.8561,11,0.0,5M_5N_5T,Small,33,heuristic
31.0,3.0314,0.0978,700.0,1.0,0.0978,0.9022,12,0.0,5M_5N_5T,Small,34,heuristic
30.0,4.352,0.1451,800.0,1.0,0.1451,0.8549,10,0.0,5M_5N_5T,Small,35,heuristic
31.0,8.3013,0.2678,410.0,1.0,0.2678,0.7322,8,0.0,5M_5N_5T,Small,36,heuristic
25.0,3.0824,0.1233,580.0,1.0,0.1233,0.8767,11,0.0,5M_5N_5T,Small,37,heuristic
34.0,3.5527,0.1045,760.0,1.0,0.1045,0.8955,12,0.0,5M_5N_5T,Small,38,heuristic
28.0,6.3562,0.227,430.0,1.0,0.227,0.773,9,0.0,5M_5N_5T,Small,39,heuristic
35.0,5.4506,0.1557,520.0,0.8254,0.1557,0.8443,9,0.0,5M_5N_5T,Small,40,heuristic
