Using CUDA GPU
[OK] All hyperparameters validated successfully!
   Problem size: 5W x 5T, MAX_TIME=5
   Model: EMBEDDING_DIM=128, HEAD_NUM=8
   Training: 200 epochs, 5 episodes/epoch
config               base      K=3     K=10     K=30
5M_5N_5T          0.1910   0.1870   0.1806   0.1806
5M_7N_5T          0.2653   0.2652   0.2593   0.2593
10M_15N_5T          0.2383   0.2382   0.2372   0.2372
15M_15N_5T          0.1063   0.1049   0.1046   0.1038
15M_20N_5T          0.1691   0.1685   0.1681   0.1681
20M_30N_5T          0.2198   0.2198   0.2198   0.2198
30M_30N_10T          0.0332   0.0275   0.0253   0.0234
30M_40N_10T          0.0642   0.0505   0.0424   0.0415
40M_50N_10T          0.0558   0.0473   0.0370   0.0356
50M_50N_15T          0.0953   0.0950   0.0944   0.0942
50M_70N_15T          0.0852   0.0844   0.0831   0.0831
70M_100N_15T          0.1045   0.1040   0.1031   0.1027

MEAN               0.1357   0.1327   0.1296   0.1291
