Using CUDA GPU
[OK] All hyperparameters validated successfully!
   Problem size: 5W x 5T, MAX_TIME=5
   Model: EMBEDDING_DIM=128, HEAD_NUM=8
   Training: 200 epochs, 5 episodes/epoch
config        arm                      base(s)     K=3(s)    K=10(s)
5M_5N_5T      parallel+1:1               0.031      0.173      0.712
5M_5N_5T      parallel+multifire         0.028      0.132      0.440
5M_5N_5T      sequential                 0.114      0.467      0.879
20M_30N_5T    parallel+1:1               0.076      0.327      0.915
20M_30N_5T    parallel+multifire         0.068      0.298      0.854
20M_30N_5T    sequential                 0.264      1.082      3.317
30M_40N_10T   parallel+1:1               0.295      1.229      3.480
30M_40N_10T   parallel+multifire         0.198      1.054      2.662
30M_40N_10T   sequential                 0.909      3.687     10.528
70M_100N_15T  parallel+1:1               1.263      4.951     13.696
70M_100N_15T  parallel+multifire         0.981      4.518     11.622
70M_100N_15T  sequential                 6.230     26.590     90.565
