[OK] All hyperparameters validated successfully!
   Problem size: 5W x 5T, MAX_TIME=5
   Model: EMBEDDING_DIM=128, HEAD_NUM=8
   Training: 200 epochs, 5 episodes/epoch
Using CUDA GPU
config             Sequential(s)     Ours(s)   speedup
5M_5N_5T                 0.0597      0.0224      2.7x
5M_7N_5T                 0.0599      0.0223      2.7x
10M_15N_5T                 0.1211      0.0306      4.0x
15M_15N_5T                 0.1900      0.0413      4.6x
15M_20N_5T                 0.2041      0.0425      4.8x
20M_30N_5T                 0.2930      0.0568      5.2x
30M_30N_10T                 0.9949      0.1946      5.1x
30M_40N_10T                 1.1213      0.2008      5.6x
40M_50N_10T                 1.3262      0.2703      4.9x
50M_50N_15T                 2.7403      0.5026      5.5x
50M_70N_15T                 2.8200      0.5112      5.5x
70M_100N_15T                 4.8405      0.8506      5.7x
MEAN                      1.2309      0.2288      5.4x
