tier,config,M,N,T,greedy_objective,parallel_postfix_objective,gap,winner
Small,5M_5N_5T,5,5,5,0.1591184913767322,0.138924,-0.02019449137673221,Parallel
Small,5M_7N_5T,5,7,5,0.309966218494326,0.211073,-0.09889321849432597,Parallel
Small,10M_15N_5T,10,15,5,0.3624357586675069,0.260608,-0.10182775866750687,Parallel
Medium,15M_15N_5T,15,15,5,0.0859576926062176,0.063449,-0.0225086926062176,Parallel
Medium,15M_20N_5T,15,20,5,0.1513852876894031,0.123258,-0.02812728768940309,Parallel
Medium,20M_30N_5T,20,30,5,0.3216249245028127,0.27839,-0.04323492450281269,Parallel
Large,30M_30N_10T,30,30,10,0.1505625879448009,0.067287,-0.0832755879448009,Parallel
Large,30M_40N_10T,30,40,10,0.2287500416304367,0.163442,-0.06530804163043669,Parallel
Large,40M_50N_10T,40,50,10,0.170467471555487,0.125476,-0.044991471555486995,Parallel
Battlefield,50M_50N_15T,50,50,15,0.0803195355386865,0.049817,-0.030502535538686495,Parallel
Battlefield,50M_70N_15T,50,70,15,0.1658688371606715,0.116261,-0.04960783716067149,Parallel
Battlefield,70M_100N_15T,70,100,15,0.1659420766259648,0.162004,-0.003938076625964793,Parallel
