seed,instance,init_value,remaining_value,objective
0,0,16.0,3.2603049278259277,0.20376905798912048
0,1,29.0,2.2170557975769043,0.07645019991644497
0,2,25.0,6.742805004119873,0.2697122001647949
0,3,32.0,3.1928157806396484,0.09977549314498901
0,4,19.0,1.5931111574172974,0.08384795565354197
0,5,37.0,4.001312255859375,0.10814357448268581
0,6,20.0,1.7029048204421997,0.08514524102210999
0,7,27.0,6.200582027435303,0.2296511862013075
0,8,28.0,5.857353210449219,0.2091911860874721
0,9,31.0,4.675622940063477,0.15082654645366053
1,0,16.0,3.737435817718506,0.23358973860740662
1,1,29.0,2.4240026473999023,0.08358629818620353
1,2,25.0,14.357660293579102,0.5743064117431641
1,3,32.0,4.916102409362793,0.15362820029258728
1,4,19.0,1.4557175636291504,0.07661671387521844
1,5,37.0,5.445151329040527,0.14716625213623047
1,6,20.0,1.7445094585418701,0.08722547292709351
1,7,27.0,4.024750709533691,0.1490648410938404
1,8,28.0,3.1891989707946777,0.11389996324266706
1,9,31.0,3.72772216796875,0.12024910219254033
2,0,16.0,3.3640854358673096,0.21025533974170685
2,1,29.0,4.183598041534424,0.1442620014322215
2,2,25.0,5.951300621032715,0.2380520248413086
2,3,32.0,2.967487335205078,0.09273397922515869
2,4,19.0,3.995584487915039,0.21029392041658101
2,5,37.0,4.640275001525879,0.1254128378790778
2,6,20.0,1.7227369546890259,0.0861368477344513
2,7,27.0,4.024750709533691,0.1490648410938404
2,8,28.0,11.508566856384277,0.411020244870867
2,9,31.0,3.3609256744384766,0.10841695723995086
3,0,16.0,3.4657669067382812,0.21661043167114258
3,1,29.0,4.381911277770996,0.15110038888865504
3,2,25.0,7.651458740234375,0.306058349609375
3,3,32.0,3.074568748474121,0.09608027338981628
3,4,19.0,8.016024589538574,0.421896031028346
3,5,37.0,6.52067756652832,0.17623452882508975
3,6,20.0,1.7227369546890259,0.0861368477344513
3,7,27.0,1.8501427173614502,0.06852380434672038
3,8,28.0,9.737418174743652,0.3477649348122733
3,9,31.0,4.709991455078125,0.15193520822832662
4,0,16.0,5.004693031311035,0.3127933144569397
4,1,29.0,4.381911277770996,0.15110038888865504
4,2,25.0,4.7073140144348145,0.18829256057739258
4,3,32.0,4.860468864440918,0.1518896520137787
4,4,19.0,0.9903340935707092,0.05212284703003733
4,5,37.0,6.5645036697387695,0.17741901810104782
4,6,20.0,2.1369290351867676,0.10684645175933838
4,7,27.0,4.509586811065674,0.1670217337431731
4,8,28.0,9.26087760925293,0.33074562890189035
4,9,31.0,4.843771934509277,0.1562507075648154
